date,symbol,model,decision,conviction,confidence,reasoning,metadata
2024-05-01,AMD,pead_yahoo,buy,0.102,0.4704,EPS surprise 2.04% after earnings on 2024-04-30; hold 5 trading days,"{""eps_estimate"":0.61,""reported_eps"":0.62,""surprise_pct"":2.0400}"
2025-05-07,AMD,pead_yahoo,buy,0.1415,0.4783,EPS surprise 2.83% after earnings on 2025-05-06; hold 5 trading days,"{""eps_estimate"":0.93,""reported_eps"":0.96,""surprise_pct"":2.8300}"
2025-11-05,AMD,pead_yahoo,buy,0.124,0.4748,EPS surprise 2.48% after earnings on 2025-11-04; hold 5 trading days,"{""eps_estimate"":1.17,""reported_eps"":1.2,""surprise_pct"":2.4800}"
2026-02-04,AMD,pead_yahoo,buy,0.799,0.6098,EPS surprise 15.98% after earnings on 2026-02-03; hold 5 trading days,"{""eps_estimate"":1.32,""reported_eps"":1.53,""surprise_pct"":15.9800}"
2026-05-06,AMD,pead_yahoo,buy,0.291,0.5082,EPS surprise 5.82% after earnings on 2026-05-05; hold 5 trading days,"{""eps_estimate"":1.29,""reported_eps"":1.37,""surprise_pct"":5.8200}"
2024-01-30,SOFI,pead_yahoo,buy,1.0,0.6809,EPS surprise 23.09% after earnings on 2024-01-29; hold 5 trading days,"{""eps_estimate"":0.04,""reported_eps"":0.04,""surprise_pct"":23.0900}"
2024-04-30,SOFI,pead_yahoo,buy,1.0,0.95,EPS surprise 638.00% after earnings on 2024-04-29; hold 5 trading days,"{""eps_estimate"":nan,""reported_eps"":0.03,""surprise_pct"":638.0000}"
2024-07-31,SOFI,pead_yahoo,buy,1.0,0.95,EPS surprise 60.00% after earnings on 2024-07-30; hold 5 trading days,"{""eps_estimate"":0.01,""reported_eps"":0.02,""surprise_pct"":60.0000}"
2024-10-30,SOFI,pead_yahoo,buy,0.758,0.6016,EPS surprise 15.16% after earnings on 2024-10-29; hold 5 trading days,"{""eps_estimate"":0.04,""reported_eps"":0.05,""surprise_pct"":15.1600}"
2025-01-28,SOFI,pead_yahoo,buy,1.0,0.8135,EPS surprise 36.35% after earnings on 2025-01-27; hold 5 trading days,"{""eps_estimate"":0.04,""reported_eps"":0.05,""surprise_pct"":36.3500}"
2025-04-30,SOFI,pead_yahoo,buy,1.0,0.95,EPS surprise 93.87% after earnings on 2025-04-29; hold 5 trading days,"{""eps_estimate"":0.03,""reported_eps"":0.06,""surprise_pct"":93.8700}"
2025-07-30,SOFI,pead_yahoo,buy,1.0,0.897,EPS surprise 44.70% after earnings on 2025-07-29; hold 5 trading days,"{""eps_estimate"":0.06,""reported_eps"":0.09,""surprise_pct"":44.7000}"
2025-10-29,SOFI,pead_yahoo,buy,1.0,0.6801,EPS surprise 23.01% after earnings on 2025-10-28; hold 5 trading days,"{""eps_estimate"":0.08,""reported_eps"":0.1,""surprise_pct"":23.0100}"
2026-02-02,SOFI,pead_yahoo,buy,0.433,0.5366,EPS surprise 8.66% after earnings on 2026-01-30; hold 5 trading days,"{""eps_estimate"":0.11,""reported_eps"":0.12,""surprise_pct"":8.6600}"
2026-04-29,SOFI,pead_yahoo,sell,-0.2085,0.4917,EPS surprise -4.17% after earnings on 2026-04-28; hold 5 trading days,"{""eps_estimate"":0.12,""reported_eps"":0.12,""surprise_pct"":-4.1700}"
2026-07-30,SOFI,pead_yahoo,buy,0.501,0.5502,EPS surprise 10.02% after earnings on 2026-07-29; hold 5 trading days,"{""eps_estimate"":0.11,""reported_eps"":0.12,""surprise_pct"":10.0200}"
2024-02-27,HIMS,pead_yahoo,sell,-0.8035,0.6107,EPS surprise -16.07% after earnings on 2024-02-26; hold 5 trading days,"{""eps_estimate"":0.06,""reported_eps"":0.05,""surprise_pct"":-16.0700}"
2024-05-07,HIMS,pead_yahoo,buy,1.0,0.6752,EPS surprise 22.52% after earnings on 2024-05-06; hold 5 trading days,"{""eps_estimate"":0.08,""reported_eps"":0.1,""surprise_pct"":22.5200}"
2024-08-06,HIMS,pead_yahoo,buy,1.0,0.7356,EPS surprise 28.56% after earnings on 2024-08-05; hold 5 trading days,"{""eps_estimate"":0.13,""reported_eps"":0.16,""surprise_pct"":28.5600}"
